State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Andaman_&_Nicobar_Islands,16,1,2014,4.0,0,4,1,BISHNU PADA RAY,M,BJP,90969.0,GEN,190328,269360.0,ANDAMAN & NICOBAR ISLANDS,GEN,,15,70.66,47.8,no,7812.0,4.1,2.38,GEAN42196,National Party,1605.0,True,7.0,BJP,1605.0,ANDAMAN & NICOBAR ISLANDS,True,True,3.0,False,True,True,Graduate,Social Work,,,,Lok Sabha Election (GE)
Andaman_&_Nicobar_Islands,16,1,2014,4.0,0,4,2,KULDEEP RAI SHARMA,M,INC,83157.0,GEN,190328,269360.0,ANDAMAN & NICOBAR ISLANDS,GEN,,15,70.66,43.69,no,79420.0,41.73,2.38,GEAN64836,National Party,3482.0,True,3.0,INC,3482.0,ANDAMAN & NICOBAR ISLANDS,True,True,0.0,False,False,True,Graduate Professional,Social Work,,,,Lok Sabha Election (GE)
Andaman_&_Nicobar_Islands,16,1,2014,4.0,0,4,3,SANJAY MESHACK,M,AAAP,3737.0,GEN,190328,269360.0,ANDAMAN & NICOBAR ISLANDS,GEN,,15,70.66,1.96,yes,1454.0,0.76,2.38,GEAN14920,State-based Party (Other State),13.0,True,1.0,,,,,,0.0,False,False,False,10th Pass,Business,,,,Lok Sabha Election (GE)
Andaman_&_Nicobar_Islands,16,1,2014,4.0,0,4,4,ANITA MONDAL,F,AITC,2283.0,GEN,190328,269360.0,ANDAMAN & NICOBAR ISLANDS,GEN,,15,70.66,1.2,yes,506.0,0.27,2.38,GEAN14914,State-based Party,18228.0,True,1.0,,,,,,0.0,False,False,False,Graduate,Business,,,,Lok Sabha Election (GE)
Andaman_&_Nicobar_Islands,16,1,2014,4.0,0,4,5,K.G.DAS,M,CPM,1777.0,GEN,190328,269360.0,ANDAMAN & NICOBAR ISLANDS,GEN,,15,70.66,0.93,yes,190.0,0.1,2.38,GEAN14910,National Party,14635.0,True,1.0,,,,,,0.0,False,False,False,12th Pass,Retired or Pension,,,,Lok Sabha Election (GE)
Andaman_&_Nicobar_Islands,16,1,2014,4.0,0,4,6,PRAKASH MINJ,M,IND,1587.0,ST,190328,269360.0,ANDAMAN & NICOBAR ISLANDS,GEN,,15,70.66,0.83,yes,23.0,0.01,2.38,GEAN14918,Independents,10809.0,True,1.0,,,,,,0.0,False,False,False,Post Graduate,Small Business or Self-employed,,,,Lok Sabha Election (GE)
Andaman_&_Nicobar_Islands,16,1,2014,4.0,0,4,7,None of the Above,NOTA,NOTA,1564.0,,190328,269360.0,ANDAMAN & NICOBAR ISLANDS,GEN,,15,70.66,0.82,,413.0,0.22,2.38,,NOTA,5897.0,True,,,,,,,,,,,,,,,,Lok Sabha Election (GE)
Andaman_&_Nicobar_Islands,16,1,2014,4.0,0,4,8,R.S.UMA BHARATTHY,F,NCP,1151.0,GEN,190328,269360.0,ANDAMAN & NICOBAR ISLANDS,GEN,,15,70.66,0.6,yes,12.0,0.01,2.38,GEAN73948,State-based Party (Other State),5792.0,True,2.0,NCP,5792.0,ANDAMAN & NICOBAR ISLANDS,True,True,0.0,False,False,False,Post Graduate,Social Work,,,,Lok Sabha Election (GE)
Andaman_&_Nicobar_Islands,16,1,2014,4.0,0,4,9,GOUR CHANDRA MAJUMDER,M,BSP,1139.0,GEN,190328,269360.0,ANDAMAN & NICOBAR ISLANDS,GEN,,15,70.66,0.6,yes,292.0,0.15,2.38,GEAN73949,State-based Party (Other State),16651.0,True,2.0,IND,10809.0,ANDAMAN & NICOBAR ISLANDS,True,False,0.0,False,False,False,Graduate,Business,,Agriculture,,Lok Sabha Election (GE)
Andaman_&_Nicobar_Islands,16,1,2014,4.0,0,4,10,SARAVANAN,M,IND,847.0,GEN,190328,269360.0,ANDAMAN & NICOBAR ISLANDS,GEN,,15,70.66,0.45,yes,411.0,0.22,2.38,GEAN14916,Independents,10809.0,True,1.0,,,,,,0.0,False,False,False,Graduate,Small Business or Self-employed,,,,Lok Sabha Election (GE)
