State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Tamil_Nadu,17,25,2019,4.0,0,4,1,"Dr.PAARIVENDHAR, T. R",M,DMK,683697.0,,1102767,1391853.0,PERAMBALUR,GEN,,19,79.23,62.0,no,403518.0,36.59,2.27,GETN270265,State-based Party,10192.0,True,2.0,BJP,1605.0,PERAMBALUR,True,False,1.0,True,False,True,Post Graduate,Education,Principal or Administrator,,,Lok Sabha Election (GE)
Tamil_Nadu,17,26,2019,4.0,0,4,1,T. R. V .S. RAMESH,M,DMK,522160.0,GEN,1043202,1364038.0,CUDDALORE,GEN,,21,76.48,50.05,no,143983.0,13.8,2.63,GETN270282,State-based Party,10192.0,True,1.0,,,,,,1.0,False,False,False,Graduate Professional,Business,,,,Lok Sabha Election (GE)
Tamil_Nadu,17,27,2019,4.0,0,4,1,THIRUMAAVALAVAN THOL,M,VCK,500229.0,SC,1153192,1480222.0,CHIDAMBARAM,SC,,13,77.91,43.38,no,3219.0,0.28,2.63,GETN270629,Local Party,8488.0,True,5.0,VCK,8488.0,CHIDAMBARAM,True,True,2.0,False,False,True,Doctorate,Politics,Party Worker,,,Lok Sabha Election (GE)
Tamil_Nadu,17,28,2019,4.0,0,4,1,RAMALINGAM. S,M,DMK,599292.0,GEN,1097243,1484842.0,MAYILADUTHURAI,GEN,,27,73.9,54.62,no,261314.0,23.82,2.56,GETN272400,State-based Party,10192.0,True,1.0,,,,,,1.0,False,False,False,Graduate,Agriculture,,,,Lok Sabha Election (GE)
Tamil_Nadu,17,29,2019,4.0,0,4,1,SELVARAJ M,M,CPI,522892.0,SC,1002208,1303649.0,NAGAPATTINAM,SC,,15,76.88,52.17,no,211353.0,21.09,2.7,GETN80831,State-based Party (Other State),2444.0,True,2.0,CPI,2444.0,NAGAPATTINAM,True,True,1.0,False,False,False,12th Pass,Social Work,,,,Lok Sabha Election (GE)
Tamil_Nadu,17,30,2019,4.0,0,4,1,"PALANIMANICKAM,S.S.",M,DMK,588978.0,GEN,1059223,1461052.0,THANJAVUR,GEN,,12,72.5,55.6,no,368129.0,34.75,2.78,GETN33124,State-based Party,10192.0,True,9.0,DMK,10192.0,THANJAVUR,True,True,6.0,False,False,False,Graduate Professional,Agriculture,,,,Lok Sabha Election (GE)
Tamil_Nadu,17,31,2019,4.0,0,4,1,KARTI P CHIDAMBARAM,M,INC,566104.0,GEN,1084468,1552019.0,SIVAGANGA,GEN,,26,69.87,52.2,no,332244.0,30.64,3.03,GETN10823,National Party,3482.0,True,2.0,INC,3482.0,SIVAGANGA,True,True,1.0,False,False,True,Graduate Professional,Business,,,,Lok Sabha Election (GE)
Tamil_Nadu,17,32,2019,4.0,0,4,1,VENKATESAN S,M,CPM,447075.0,GEN,1016026,1539026.0,MADURAI,GEN,,27,66.02,44.0,no,139395.0,13.72,3.33,GETN272455,National Party,14635.0,True,1.0,,,,,,1.0,False,False,False,12th Pass,Liberal Profession or Professional,Author,Politics,Party Worker,Lok Sabha Election (GE)
Tamil_Nadu,17,33,2019,4.0,0,4,1,"RAVEENDRANATH KUMAR, P",M,ADMK,504813.0,GEN,1173489,1561040.0,THENI,GEN,,30,75.17,43.02,no,76693.0,6.54,2.94,GETN270399,State-based Party,930.0,True,1.0,,,,,,1.0,False,False,False,Post Graduate,Business,,Agriculture,,Lok Sabha Election (GE)
Tamil_Nadu,17,34,2019,4.0,0,4,1,"MANICKAM TAGORE, B.",M,INC,470883.0,GEN,1074735,1484256.0,VIRUDHUNAGAR,GEN,,28,72.41,43.81,no,154554.0,14.38,3.45,GETN10917,National Party,3482.0,True,3.0,INC,3482.0,VIRUDHUNAGAR,True,True,2.0,False,False,True,,Other,,,,Lok Sabha Election (GE)
